594
(1,377,11.499014955186272)
(377,352,39.248169485071045)
(352,0,21.287015589949082)
(24,23,49.78997657719581)
(23,6,73.73402526831181)
(6,22,78.80821763026405)
(22,21,59.43669821862575)
(21,20,129.39084651867915)
(20,216,60.17221366332047)
(216,19,25.016410348217207)
(298,30,607.5809527890196)
(35,36,28.41615419291666)
(36,37,57.036801352487785)
(37,38,133.412210466965)
(38,39,54.06092169320363)
(39,244,37.056959171934814)
(244,28,15.88843040315517)
(0,391,99.11008476090868)
(391,40,2.5587764298667057)
(40,41,105.12430713631642)
(41,29,127.92556874382154)
(29,23,22.054813965059264)
(23,42,76.37780361139853)
(42,285,70.20278579716846)
(285,282,9.921467206389346)
(282,4,63.563937701853966)
(4,44,75.0428619736909)
(44,45,69.09420800254651)
(45,46,122.83173150599968)
(46,47,60.619132801434766)
(47,48,21.104698277941452)
(280,269,483.3680694108794)
(269,280,483.3680694108794)
(49,60,83.38952454040891)
(60,61,126.95452329337238)
(61,62,64.41518523657474)
(62,5,76.54829190099937)
(5,42,71.20109327507483)
(42,63,36.014692642258716)
(64,65,35.943255487794225)
(65,64,35.943255487794225)
(65,356,46.98440924522364)
(356,65,46.98440924522364)
(356,31,7.680440088581414)
(31,356,7.680440088581414)
(66,67,106.52396621241915)
(67,66,106.52396621241915)
(67,361,9.40681928797266)
(361,257,4.947308047851629)
(257,256,6.80111910858165)
(256,68,27.499899228829257)
(68,46,37.74250490417652)
(46,60,76.12766368572318)
(60,20,71.90670605383333)
(20,37,68.35205039603218)
(37,69,48.9129270368109)
(69,245,3.9097490472368768)
(245,70,42.44823133851863)
(70,249,10.091801399679497)
(249,50,50.63715111172857)
(26,70,52.21224049898467)
(70,36,74.4374959673096)
(36,242,6.79780326853834)
(242,216,62.21526043770409)
(79,45,1379.940969468835)
(358,94,54.26206443638137)
(94,358,54.26206443638137)
(92,93,40.09754467517698)
(92,102,614.1690907262134)
(34,119,893.5699272952345)
(119,34,893.5699272952345)
(13,136,78.65082761515497)
